Nazwisko,Liczba wystąpień
LUSEK,29
LUTA,29
ŁABYS,29
ŁAWECZKA,29
ŁAWNIKOWSKA,29
ŁAWRYNIUK,29
ŁAZUTKA,29
ŁĄSKA,29
ŁEŚKO,29
ŁODYŃSKA,29
ŁOGINOW,29
ŁOZOWA,29
ŁUKANTY,29
ŁUTAJ,29
ŁYNIEWSKA,29
ŁYZIAK,29
MACEŃKO,29
MACIEJUNAS,29
MACIESZKO,29
MACIJEWICZ,29
MACZALSKA,29
MADEJOWICZ,29
MAJDURA,29
MAJUCH,29
MAKSYMISZYN,29
MAKŚWIEJ,29
MAKUCEWICZ,29
MAKUŚ,29
MALACZYŃSKA,29
MALENGOWSKA,29
MALERZ,29
MALISZEWSKI,29
MALYNOVSKA,29
MAŁANIAK,29
MAMPE,29
MANARCZYK,29
MARGEL,29
MARK,29
MARSZALUK,29
MARTONIK,29
MASZTANOWICZ,29
MATEJUNAS,29
MATJASOWICZ,29
MATYCHNIAK,29
MAZGAJCZYK,29
MENDZIAK,29
MENZLER,29
METYCH,29
MEUSZYŃSKA,29
MIĄGOWSKA,29
MICACH,29
MICIURA,29
MICYGAŁA,29
MIESZKUĆ,29
MIĘKA,29
MIGOŚ,29
MIKANIK,29
MIKICIN,29
MILCZARKIEWICZ,29
MILERT,29
MILIWEK,29
MINASYAN,29
MIRŻ,29
MISERA,29
MITTER,29
MŁODOSZEWSKA,29
MŁOŻNIAK,29
MŁÓDZIK,29
MODLIBOREK,29
MOISA,29
MOLNÁR,29
MOŁDAWSKA,29
MOŁODOWICZ,29
MONKOWSKA,29
MOSNA,29
MOSTKOWSKA,29
MOŚCIANICA,29
MOZELEWSKA,29
MURASZKA,29
MURAWICZ,29
MURLIK,29
MUSIIENKO,29
MUSISZ,29
MYKICKA,29
NAGOŃSKA,29
NAGÓRNY,29
NAHACZ,29
NAJBAUER,29
NAJSZNERSKA,29
NAMROŻY,29
NAMSLER,29
NAS,29
NASIENIAK,29
NASTULSKA,29
NAWROLSKA,29
NECZEK,29
NEJNO,29
NENTWIG,29
NĘDZOŁEK,29
NIEBÓJ,29
NIECZYPEROWICZ,29
NIEDBAŁOWSKA,29
NIEGÓRSKA,29
NIELUBOWICZ,29
NIEŁACNY,29
NIEMCZYKIEWICZ,29
NIEMIAŁKOWSKA,29
NIERUBCA,29
NIKOLENKO,29
NIKOLSKA,29
NOACK,29
NYŚK,29
OBCINA,29
OBERSZTYN,29
OBŁAWSKA,29
OBŁĄCZEK,29
OBNOWSKA,29
OBSADA,29
OCHABOWICZ,29
OCHENDZAN,29
OCHMANOWICZ,29
OCHRYMCZUK,29
ODON,29
ODYMAŁA,29
OGRODNICKA,29
OKOPIŃSKA,29
OKOPNA,29
OKTABIŃSKA,29
OLEKSIEJCZUK,29
ONDERKO,29
ONUFRYJENKO,29
OPEL,29
OPOŁCZYŃSKA,29
OPROCHA,29
OPRYSZCZKO,29
ORKUSZ,29
ORZĘDOWSKA,29
OSICIŃSKA,29
OSSADNIK,29
OSSOWSKI,29
OSTAPOWSKA,29
OSTREJKO,29
OSTROKULSKA,29
OTTLEWSKA,29
OTYŃSKA,29
OŻDŻEŃSKA,29
OŻYP,29
PACHOLCZUK,29
PACZYNA,29
PAJOŁEK,29
PAJONCZEK,29
PAKIZER,29
PAKLIKOWSKA,29
PALIJ,29
PALL,29
PANASZEWSKA,29
PANCEK,29
PANERT,29
PANIECZKO,29
PANKAŁA,29
PAŃCZYNIAK,29
PARCZAŁA,29
PARDON,29
PAROWIŃSKA,29
PARSZUTOWICZ,29
PARWA,29
PAVLYUK,29
PAWCZYŃSKA,29
PAWICA,29
PAWIŁOWICZ,29
PAWLENIAK,29
PAWLENKO,29
PAWŁOSZEK,29
PAWŁUŚ,29
PECZYK,29
PEDYŃSKA,29
PELACZYK,29
PELIAN,29
PELWECKA,29
PERKINS,29
PETEJKO,29
PETRYNIK,29
PETZOLD,29
PIANA,29
PIASKO,29
PIECHNICKA,29
PIECZEŃCZYK,29
PIEKSZA,29
PIJOREK,29
PILINKO,29
PIOREK,29
PIOTREWICZ,29
PIPIRO,29
PISAREWSKA,29
PIWOCKA,29
PLANTA,29
PLEGER,29
PLESKACZYŃSKA,29
PLUTO-PRĄDZIŃSKA,29
PŁATACZ,29
PŁOWSKA,29
POCHAŁA,29
POCHWYT,29
PODEBRY,29
PODGAJECKA,29
PODHALAŃSKA,29
PODLACKA,29
PODPIRKO,29
PODSTOLEC,29
POGREBNIAK,29
POKŁACKA,29
POLIKARSKA,29
POŁĄCZAK,29
POŁOG,29
POŁOSZYNOWICZ,29
PORADZKA,29
PORAZINSKA,29
PORZUCKOWIAK,29
POSIELSKA,29
POSTOŁEK,29
POTAPOW,29
PRACUK,29
PRANAGAL,29
PRASZELIK,29
PREIBISZ,29
PRONIŃSKA,29
PRUDZIC,29
PRYMAKOWSKA,29
PRZECHOWSKA,29
PRZEDZIŃSKA,29
PRZEWOR,29
PRZĘCZKA,29
PRZYBIK,29
PRZYBYL,29
PRZYBYLINSKA,29
PRZYKLĘK,29
PRZYPKOWSKA,29
PRZYPOLSKA,29
PRZYWORA,29
PUCHLERZ,29
PUDELEWICZ,29
PUHACH,29
PUPIAŁŁO,29
PURGIEL,29
PUSTY,29
PUSZCZAŁO,29
PYPOWSKA,29
PYTRUS,29
RACHYŁA,29
RACZYŁA,29
RADTKOWSKA,29
RAGUCKA,29
RAIŃCZUK,29
RAJSZ,29
RAKUSIEWICZ,29
RANKA,29
RAŚKIEWICZ,29
RATHENÓW,29
RAZ,29
RĄDKOWSKA,29
RDZAWSKA,29
REHLICH,29
REICHMAN,29
REIFF,29
REJN,29
REJNIEWICZ,29
REJRAT,29
REKLEWSKA,29
RENDECKA,29
REPNIK,29
RESZCZYNSKA,29
RETYK,29
REYES,29
RĘBIEJEWSKA,29
RĘCZKOWICZ,29
ROGENBUK,29
ROGGENBUCK,29
ROJKO,29
ROKIEL,29
ROSICZKA,29
ROSPĘDOWSKA,29
ROSTOJEK,29
ROZKOSZNA,29
ROZŁONKOWSKA,29
ROZWALAK,29
RUDUŚ,29
RUMANEK,29
RYCHTOWSKA,29
RYCHTYK,29
RYCHWIŃSKA,29
RYDZEŃSKA,29
RYFCZAK,29
RYN,29
RYNIEJSKA,29
RYPCZYŃSKA,29
RYPLEWSKA,29
RYŻA,29
RZĄDECZKA,29
RZEHAK,29
RZEMIENIARZ,29
RZENIECKA,29
SABASIŃSKA,29
SADOŚ,29
SAGERMANN,29
SAIK,29
SAKAŁA,29
SALASTOWICZ,29
SALTARIUS,29
SALWOCKA,29
SAŁACHEWICZ,29
SAMODER,29
SANDURA,29
SANTOWSKA,29
SAPIJA,29
SASULSKA,29
SATALECKA,29
SAWIN,29
SAWKÓW,29
SAWŁAN,29
SAWONIEWICZ,29
SAZOŃSKA,29
SCHELL,29
SCHWITALLA,29
SEIDE,29
SEJWA,29
SEKUTER,29
SEMENENKO,29
SEMERDA,29
SENDERACKA,29
SENICA,29
SEREJA,29
SERNICKA,29
SERWATOWSKA,29
SERWEJUK,29
SERZYCKA,29
SHAHZAD,29
SIAJKOWSKA,29
SIBRECHT,29
SIEDLICKA,29
SIELACH,29
SIEMIACKA,29
SILWON,29
SIMILSKA,29
SISIK,29
SIT,29
SITZ,29
SIULIŃSKA,29
SIURMICKA,29
SIUSZKO,29
SKAŁCZYŃSKA,29
SKAZALSKA,29
SKIWSKA,29
SKOMURSKA,29
SKOROŚ,29
SKÓRNIAK,29
SKRABAKA,29
SKRABARCZYK,29
SKRABEL,29
SLENCZKA,29
SŁOMIAŃSKA,29
SŁUŻYŃSKA,29
SMAJKIEWICZ,29
SMARKUSZ,29
SMAŻ,29
SMĘTOCH,29
SMURLIK,29
SMUT,29
SMYDRA,29
SMYTRY,29
SOBCHUK,29
SOCZEWA,29
SOLAR,29
SOŁONYNKA,29
SOMMERREY,29
SOMMERTAG,29
SOMROWSKA,29
SOPORA,29
SORA,29
SORGE,29
SOŚ,29
SPRINGMANN,29
SROCK,29
STARONIEWSKA,29
STAROOJCIEC,29
STASIOREK,29
STEFENS,29
STEPCZYK,29
STEVENSON,29
STOCHNIOL,29
STODOLNY,29
STOJER,29
STOLFIK,29
STREMECKA,29
STROHSCHEIN,29
STRUCH,29
STRUZIKIEWICZ,29
STRYLUK,29
STRZĘBICKA,29
STUŚ,29
SUBIEL,29
SUCHYTA,29
SUCKER,29
SUDARA,29
SUMELKA,29
SUSZALSKA,29
SVOBODA,29
SWEBOCKA,29
SWĘDZIKIEWICZ,29
SWOLKIEŃ,29
SWONKE,29
SYTYK,29
SZABAGA,29
SZAJNECKA,29
SZAJNOCHA,29
SZAJT,29
SZANIECKA,29
SZARBLEWSKA,29
SZCZASNY,29
SZCZERBIC,29
SZCZERECKA,29
SZCZOCARZ,29
SZCZODROWICZ,29
SZCZURNA,29
SZCZYŻAŃSKA,29
SZELOWSKA,29
SZENDAŁA,29
SZEPELAWA,29
SZERZYNA,29
SZKARNULIS,29
SZLANDA,29
SZLANGA,29
SZLEHUBER,29
SZLEJF,29
SZLETER,29
SZLICHCIŃSKA,29
SZMONIEWSKA,29
SZNITER,29
SZOPIERAY,29
SZPANIER,29
SZPĄDROWSKA,29
SZPEJENKOWSKA,29
SZPIT,29
SZTEJMER,29
SZTELER,29
SZTENDERSKA,29
SZTERNAL,29
SZTOF,29
SZTOŃ,29
SZUBIELAK,29
SZUPTARSKA,29
SZUTIAK,29
SZUWALD,29
SZWACZ,29
SZYBAK,29
SZYGUDA,29
SZYMANIEWSKA,29
SZYNKORA,29
SZYSKA,29
ŚCIBIŃSKA,29
ŚCIERWICKA,29
ŚLIPEŃCZUK,29
ŚLUSARCZYŃSKA,29
ŚNIADÓWKA,29
ŚNIHUR,29
ŚRÓTWA,29
ŚWIATCZYŃSKA,29
ŚWIECZNIK,29
ŚWIONTEK,29
ŚWIRKULA,29
ŚWITELSKA,29
TACICA,29
TAJSTER,29
TARABAN,29
TARANENKO,29
TARATAJCIO,29
TESSA,29
TEUBER,29
TIDE,29
TISCHNER,29
TKACZOW,29
TKOTZ,29
TLUCZYKONT,29
TOBOJKO,29
TOCKE,29
TOCZKIEWICZ,29
TOKARSKI,29
TOMASZUNAS,29
TORCZYK,29
TOWŚCIK,29
TRAWINSKA,29
TRECZKA,29
TREJGO,29
TRENKA,29
TRĘBECKA,29
TROCHOLEPSZA,29
TROMICZAK,29
TROSZCZAK,29
TRUBICKA,29
TRUSH,29
TRZECIANOWSKA,29
TRZISZKA,29
TSARUK,29
TUGI,29
TULACHA,29
TUPTYŃSKA,29
TURZENIECKA,29
TYRALA,29
TYŻLIK,29
UMINSKA,29
UMŻYŃSKA,29
UNDERLIK,29
UNIKOWSKA,29
USSOROWSKA,29
USTIMOWICZ,29
UŹDZICKA,29
VASKO,29
VOZNIAK,29
WAJNBERG,29
WALON,29
WANATKO,29
WANDOLSKA,29
WANDZICH,29
WARZECHOWSKA,29
WASIOŁKA,29
WASZNIEWSKA,29
WASZTAN,29
WASZUK,29
WĄCIRZ,29
WĄWOREK,29
WEŁK,29
WENEROWICZ,29
WERENKOWICZ,29
WERETYCKA,29
WESELIŃSKA,29
WETERLE,29
WEWIÓROWSKA,29
WĘGLER,29
WĘTKOWSKA,29
WICZOK,29
WIDAŃSKA,29
WIEJSKA,29
WIELINIEC,29
WIELOŃSKA,29
WIERESZKA,29
WIEROBIEJ,29
WIESION,29
WIETOCHA,29
WILFORT,29
WISOWATY,29
WIST,29
WISZOMIRSKA,29
WIŚNIOSZ,29
WITTKA,29
WŁASAK,29
WŁOCKA,29
WOBSZAL,29
WOCAL,29
WOCHELSKA,29
WOJAŃCZYK,29
WOJARNIK,29
WOJCIECHÓW,29
WOJKE,29
WOTALSKA,29
WREDE,29
WRĘBIAKOWSKA,29
WUJ,29
WURMAŃSKA,29
WURSTER,29
WYCH,29
WYCHODZKA,29
WYCZLIŃSKA,29
WYPIJACZ,29
WYTRZYMAŁA,29
WYTRZYSZCZAK,29
WYTYCH,29
YABLONSKA,29
YAROSH,29
YASHCHUK,29
YEGHIAZARYAN,29
YERMAKOVA,29
ZABOLEWICZ,29
ZACIRKA,29
ZACNIEWSKA,29
ZADRZYŃSKA,29
ZAICHENKO,29
ZAKAŁUŻNA,29
ZALESINSKA,29
ZALESSKA,29
ZANTKIEWICZ,29
ZAREMBECKA,29
ZASZCZUDŁOWICZ,29
ZAWOLUK,29
ZAŻYCKA,29
ZBARACHEWICZ,29
ZBARASZCZUK,29
ZBIEROWSKA,29
ZDERO,29
ZDOBYSZ,29
ZDZIŁOWSKA,29
ZEGARMISTRZ,29
ZELINKA,29
ZGÓRALSKA,29
ZHUKOVSKA,29
ZHURAVSKA,29
ZIARNICKA,29
ZIENCZYK,29
ZIĘBORA,29
ZIĘTKOWIAK,29
ZINK,29
ZŁOWOCKA,29
ZMORSKA,29
ZMURA,29
ZMYŚLIŃSKA,29
ZURMAN,29
ZYGMOND,29
ZYL,29
ŹLIK,29
ŻAMEJĆ,29
ŻEGLICZ,29
ŻELEŚKIEWICZ,29
ŻESZKO,29
ŻOŁĄDZIEJEWSKA,29
ŻOŁECKA,29
ŻÓŁTKIEWICZ,29
ŻULIK,29
ŻYGIEL,29
ŻYMELSKA,29
ŻYTLIŃSKA,29
ADANOWICZ,28
ADRJANOWICZ,28
AKATYSZEWSKA,28
AKINIS,28
AKSONOVA,28
ALBRYCH,28
ALOKSA,28
ALUCHNA,28
AMBROŻYK,28
ANCHIMOWICZ,28
ANDRIEIEVA,28
ANDRUKIANIEC,28
ARAS,28
ARAŚ,28
ARAZY,28
ARCISZUK,28
ARENTOWSKA,28
ATKINSON,28
AWDZIEJCZYK,28
BABAYAN,28
BABRZYMĄKA,28
BACHLEDA-WALA,28
BACHOROWSKA,28
BACIC,28
BADETKO,28
BAJDEL,28
BAJEREK,28
BAKSALARA,28
BAKULIŃSKA,28
BALARIN,28
BALEC,28
BALLION,28
BALTER,28
BALTYZAR,28
BAŁABAJ,28
BAŁKUN,28
BANDO,28
BANKERT,28
BARCHACKA,28
BARKE,28
BARTHEL,28
BARTMANN,28
BARZYKOWSKA,28
BASAMANOWICZ,28
BASENDOWSKA,28
BASIEJKO,28
BASZ,28
BATTE,28
BAUMGARDT,28
BAUTZ,28
BAWOLIK,28
BAZYLÓW,28
BAŹMIEROWSKA,28
BELINA-BRZOZOWSKA,28
BEŁCIKOWSKA,28
BENDZA,28
BENO,28
BERDOWICZ,28
BERENC,28
BERNACKI,28
BETNER,28
BĘCZARSKA,28
BĘCZEK,28
BIEDNIK,28
BIEGASIK,28
BIELACHOWICZ,28
BIEŁAWA,28
BIGALKE,28
BIKSA,28
BILSKI,28
BIŁOZOR,28
BINIASZAK,28
BISGWA,28
BISHA,28
BLANC,28
BLISKOWSKA,28
BLISZCZAK,28
BLUMOWSKA,28
BLUZ,28
BŁAWACKA,28
BŁAŻEJCZUK,28
BŁUDZIEŃ,28
BOCHNIEWSKA,28
BOENIGK,28
BOGATKA,28
BOJCZYK,28
BOKŚ,28
BOMAN,28
BONCAL,28
BONCZOL,28
BONDARONEK,28
BONIFACIUK,28
BORDZIŁOWSKA,28
BORÓWCZAK,28
BORRMANN,28
BORUSZKO,28
BORYSZKO,28
BORZYMIŃSKA,28
BOTHUR,28
BÖHME,28
BRAMIŃSKA,28
BRAMORA,28
BRENIENEK,28
BROGOWICZ,28
BROMONT,28
BRUNER,28
BRUNOW,28
BRUŻEWICZ,28
BRYZGIEL,28
BRZEZIŃSKI,28
BRZOŚCIKOWSKA,28
BRZOZOŃ,28
BUBENKO,28
BUBIENIEC,28
BUBRZYK,28
BUBUŁKA,28
BUCHARZEWSKA,28
BUCHOLTZ,28
BUCIA,28
BUCZOWSKA,28
BUDZAR,28
BUDZEŃSKA,28
BUGRYN,28
BUJ,28
BUJNIUK,28
BULAWA,28
BUŁYGO,28
BUŁYK,28
BURCHAT,28
BURDZA,28
BURZY,28
BUŚK,28
BZUMOWSKA,28
CARLSON,28
CELIAN,28
CELKOWSKA,28
CEMBRUCH,28
CEPOWICZ,28
CEWKOWICZ,28
CHABAJ,28
CHADAMIK,28
CHAŁASIEWICZ,28
CHAŁDAŚ,28
CHARECKA,28
CHARNICKA,28
CHARUN,28
CHERUBIŃSKA,28
CHOLAŚ,28
CHOŁUBEK,28
CHOROSTOWSKA,28
CHOTYŃSKA,28
CHRUPCZALSKA,28
CHRZANOWSKI,28
CHUDORLIŃSKA,28
CHWEDACZUK,28
CIACHLA,28
CIEĆKOWSKA,28
CIEKIELSKA,28
CIELUBA,28
CIEPŁAK,28
CIEPŁOTA,28
CIESIEŁKIEWICZ,28
CIESZOWIC,28
CIORGOŃ,28
CIOSAŃSKA,28
CIRKOWSKA,28
CISZMOWSKA,28
CIUKA,28
CIUKAS,28
CIULEMBA,28
CIUNAJCIS,28
CIURUK,28
COKAN,28
COMPEL,28
CURA,28
CYFER,28
CZAMPIEL,28
CZARACHOWICZ,28
CZARNOMYS,28
CZASNOWICZ,28
CZECHULSKA,28
CZEKAL,28
CZELAKOWSKA,28
CZEPŁOWSKA,28
CZEPUKOWICZ,28
CZERMANOWICZ,28
CZERNIANIN,28
CZOPOWICZ,28
CZUDZINOWICZ,28
CZUPALLA,28
CZUPKOWSKA,28
CZWARTYŃSKA,28
CZYCZEL,28
CZYRT,28
ĆWIRLEJ,28
ČERNÁ,28
DABKIEWICZ,28
DALIDOWSKA,28
DANYLENKO,28
DASCHKE,28
DASE,28
DE WEYHER,28
DELEŻUK,28
DELIGA,28
DELIKTA,28
DEMANGE,28
DEMYDENKO,28
DEMYTER,28
DENEJKO,28
DENESZEWSKA,28
DENYSIAK,28
DEOROWICZ,28
DEPPE,28
DERKS,28
DING,28
DOBRZEŃSKA,28
DOLACZYŃSKA,28
DOLANOWSKA,28
DOŁBAKOWSKA,28
DOMALACZNA,28
DOMAŁECZNA,28
DOMOGALSKA,28
DOMURADZKA,28
DONETS,28
DOPTA,28
DRABANEK,28
DRAT,28
DREJARZ,28
DREJASZ,28
DREWULSKA,28
DROZDYK,28
DROŹDZIOŁ,28
DRÓZDA,28
DUBCZAK,28
DUBNIEWICZ,28
DUNAS,28
DURIASZ,28
DYDIUK,28
DYGASIŃSKA,28
DYKACZ,28
DYLCZYK,28
DYŻAKOWSKA,28
DZIADUSZEWSKA,28
DZIANACHOWSKA,28
DZIEMECKA,28
DZIERKO,28
DZIEWIAŁTOWICZ,28
DZIWALSKA,28
DZIWICKA,28
ECKA,28
EGGERS,28
EPPEL,28
ETIENNE,28
FANDZLOCH,28
FARCINKIEWICZ,28
FARNIK,28
FASZCZOWY,28
FEDOREC,28
FEDYNIUK,28
FEDYSHYN,28
FEJCHER,28
FELECKA,28
FELKLE,28
FEŃCZAK,28
FERĘCZKOWSKA,28
FIDOROWICZ,28
FIELUBA,28
FILAREK,28
FILIPPOVA,28
FIRAN,28
FISCHOEDER,28
FIŚ,28
FLOS,28
FOBKA,28
FOLUSIAK,28
FRANCO,28
FRANCUSZKIEWICZ,28
FRAUENFELDER,28
FRIED,28
FRIEDL,28
FRINDT,28
FRISCHKE,28
FRONCKOWIAK,28
FRUCZ,28
FRYDULSKA,28
FRYNDT,28
FUKAS,28
FUNT,28
GABINEK,28
GAJDARSKA,28
GAJDERA,28
GAJSLER,28
GALANKIEWICZ,28
GALANTA,28
GALASZEWSKA,28
GALCAK,28
GALICZYŃSKA,28
GALINA,28
GALINATYS,28
GAŁKUS,28
GAŁUSA,28
GARBACEWICZ,28
GARDJAS,28
GARLIK,28
GASPERANIEC,28
GASZTKOWSKA,28
GAWCZYŃSKA,28
GAWRZYJAŁ,28
GAZY,28
GĄSIENICA-JÓZKOWY,28
GEKA,28
GELINSKA,28
GERLICKA,28
GERSZYŃSKA,28
GĘBACZKA,28
GĘBOSZ,28
GIBKI,28
GIEŁAZIS,28
GIERSZENDORF,28
GILER,28
GILETYCZ,28
GIOLBAS,28
GISTEREK,28
GITALEWICZ,28
GIZULEWSKA,28
GLASPAN,28
GŁEMBOCKA,28
GNIEŁCZYK,28
GNOSOWSKA,28
GNOTH,28
GOBIECKA,28
GOCKIEWICZ,28
GODUŃSKA,28
GOETZE,28
GOGAŁA,28
GOGOŁA,28
GOLAU,28
GOŁDECKA,28
GOŁDZIŃSKA,28
GOŁOWACZYK,28
GOMEZ,28
GONCZARUK,28
GONDOR,28
GONIARSKA,28
GOODWIN,28
GORDZIEWICZ,28
GORELA,28
GORYLUK,28
GORYSZ,28
GRADEL,28
GRADULEWSKA,28
GRAMANN,28
GRANAS,28
GRANDYBERG,28
GRĄDKIEWICZ,28
GREGORUK,28
GRESZKO,28
GRICMAN,28
GRICNER,28
GROD,28
GROFIK,28
GROSZKO,28
GROŻYŃSKA,28
GRUENWALD,28
GRUSZEL,28
GRUŚ,28
GRYTZ,28
GRZĘBKOWSKA,28
GRZĘDZIAK,28
GRZYSCZOK,28
GUCMAN,28
GUDRO-PUISCHEL,28
GUTKNECHT,28
GUZANOWSKA,28
GUZDECKA,28
GUŻKOWSKA,28
HABERNY,28
HAJDACZ,28
HAKA,28
HAŁOŃSKA,28
HAMELAK,28
HANDLER,28
HANK,28
HAŃCE,28
HARBATOWICZ,28
HARLOS,28
HARMIDA,28
HARPAK,28
HAUPTMANN,28
HAYRAPETYAN,28
HEBERLEJN,28
HEFKA,28
HELLEBRAND,28
HELTMAN,28
HENN,28
HEREŚNIAK,28
HERNIAK,28
HERODOWICZ,28
HERRA,28
HERYK,28
HERYNG,28
HĘCLIK,28
HILLENBERG,28
HINKELMANN,28
HMIELORZ,28
HNATCZAK,28
HNIEDZIEJKO,28
HOANG THI,28
HODOROWSKA,28
HOHLWEG,28
HOLUSZA,28
HOMĘTOWSKA,28
HOROWITZ,28
HOSKA,28
HRYPIŃSKA,28
HRYTSIUK,28
HUC,28
HUCHULSKA,28
HULOK,28
HUMPICH,28
HURAL,28
IAVORSKA,28
ICIŃSKA,28
ILK,28
IMOS,28
INDRZEJEWSKA,28
IPNAR,28
IWAŃCZOK,28
IWASYK,28
IZBRANDT,28
JABŁONIAK,28
JACHMAN,28
JACNIAK,28
JACORZYŃSKA,28
JAGNIESZKO,28
JAGÓDZKA,28
JAKUCZEK,28
JAMRUŻKA,28
JANASIŃSKA,28
JANCZENIA,28
JANETZKO,28
JARLACZYŃSKA,28
JARMUŁKOWICZ,28
JASKIERNA,28
JAŚTAL,28
JAWTOSZUK,28
JAŹNICKA,28
JEDNAK,28
JER,28
JEREMENKO,28
JEREMIEJKO,28
JERUĆ,28
JESZKOWSKA,28
JEZIERNICKA,28
JĘCZAŁA,28
JĘCZYŃSKA,28
JĘKAL,28
JODDA,28
JONCZY,28
JOZAJTIS,28
JURKOWSKI,28
JUROŁAJĆ,28
JUSKOWSKA,28
KABALSKA,28
KACPERCZAK,28
KADEWSKA,28
KADLOF,28
KAJCIŃSKA,28
KAJFOSZ,28
KALAMAN,28
KALDER,28
KALETHA,28
KAŁASZNIKOW,28
KAŁUDA,28
KAŁUSEK,28
KAMRAJ,28
KANCZURSKA,28
KANICZ,28
KANKE,28
KARAPYTA,28
KARASZCZAK,28
KARAWACKA,28
KARECIŃSKA,28
KAREK,28
KARGIEL,28
KARIM,28
KARNIK,28
KARPIO,28
KARPUĆ,28
KASIECZKO,28
KASSAN,28
KAZNODZIEJ,28
KĄDALSKA,28
KEJZA,28
KEMPROWSKA,28
KETNER,28
KĘDLARSKA,28
KĘPKIEWICZ,28
KIEBA,28
KIEŁCZAK,28
KIERMACKA,28
KIERNOWICZ,28
KIEWISZ,28
KIKMUNTER,28
KILIMON,28
KILOS,28
KINCZEL,28
KINKEL,28
KINZEL,28
KIRMES,28
KIRYJCZUK,28
KITZMAN,28
KIZINKIEWICZ,28
KIZŁO,28
KIZOWSKA,28
KIZYM,28
KLEJDA,28
KLENOWSKA,28
KLESER,28
KLESZKA,28
KLEŚNY,28
KLICA,28
KLIMIEC,28
KLINNER,28
KLITKOWSKA,28
KLOF,28
KLOJ,28
KLUCZKIEWICZ,28
KŁACZKO,28
KŁAGISZ,28
KŁAKOWSKA,28
KMICIEWICZ,28
KNAJDROWSKA,28
KNEREK,28
KOCEWA,28
KOCHARYAN,28
KOJAT,28
KOKOC,28
KOLATA,28
KOLEMBA,28
KOŁBUT,28
KOŁCZYKIEWICZ,28
KOMALSKA,28
KOMANDOWSKA,28
KOMŁO,28
KOMPOLT,28
KONDAŁA,28
KONDYRA,28
KONFEROWICZ,28
KONSZTOWICZ,28
KONTRABECKA,28
KOPRJANIUK,28
KORKOZOWICZ,28
KOROSTEŃSKA,28
KORWAT,28
KOSELKE,28
KOSIATA,28
KOSOSKA,28
KOSTYRKO,28
KOSZENTKA,28
KOSZKA,28
KOTELCZUK,28
KOTFICA,28
KOTYŁO,28
KOTZIAN,28
KOWALOW,28
KOWBEL,28
KOWGAN,28
KOZICIŃSKA,28
KOZIEJKO,28
KOŻYCZAK,28
KRALCZYŃSKA,28
KRAMPICHOWSKA,28
KRASILEWICZ,28
KRASIUK,28
KRAWCZYKOWICZ,28
KRAWONTKA,28
KREJPOWICZ,28
KRĘCIKOWSKA,28
KRONFELD,28
KROPATWA,28
KROPOPEK,28
KRYCHA,28
KRYSZYŃSKA,28
KRYVENKO,28
KRZEBIOT,28
KRZESIWO,28
KRZIŻOK,28
KSIĄŻYŃSKA,28
KSIENŻYK,28
KUBAKA,28
KUBAŃ,28
KUBATKO,28
KUBCZYŃSKA,28
KUBONIK,28
KUCHLIN,28
KUCUŁYMA,28
KUCZYNKO,28
KUDLINSKA,28
KUDON,28
KUDZIELKO,28
KUGACZEWSKA,28
KUKAŁOWICZ,28
KUKIELIŃSKA,28
KUKLINOWSKA,28
KULESZKO,28
KUŁAN,28
KUMARI,28
KUMELSKA,28
KUNAR,28
KUNDE,28
KURCBACH,28
KURCHAN,28
KURSEWICZ,28
KURZEJ,28
KUSZWARA,28
KUŚMIŃSKA,28
KUTRYŚ,28
KUTT,28
KUZ,28
KWACZEK,28
KYSIL,28
LABUD,28
LALORNY,28
LANDKOCZ,28
LANDZBERG,28
LANGWERSKA,28
LAWIN,28
LECIEWICZ,28
LEGĘCKA,28
LEGIEŻYŃSKA,28
LEIBNER,28
LEIBRANDT,28
LEPIESZA,28
LEPIESZO,28
LESZTO,28
LEW KIEDROWSKA,28
LEWANOWSKA,28
LICHMAŃSKA,28
LICHORAD,28
LIDZBA,28
LIERSCH,28
LIGÓR,28
LIMAŃCZYK,28
LIPIÓR,28
LISATOWICZ,28
LIŚNIAŃSKA,28
LITTWITZ,28
LITWINIONEK,28
LOMBARSKA,28
LONTKOWSKA,28
LOWAK,28
LOWE,28
LUBANIAK,28
LUBEREK,28
LUBERTOWICZ,28
LUCZEK,28
LUDWIKÓW,28
LUNGE,28
LUNGU,28
LUSAR,28
ŁABAZA,28
ŁABICH,28
ŁADO,28
ŁAGIDA,28
ŁANGOWICZ,28
ŁATASIEWICZ,28
ŁAWER,28
ŁAZARCZUK,28
ŁAZAROW,28
ŁĄCAŁA,28
ŁOPIANOWSKA,28
ŁOPKA,28
ŁOWKIEWICZ,28
ŁOŹNIEWSKA,28
ŁUCZEWSKA,28
MAASS,28
MACHUDERSKA,28
MACIANIS,28
MACIECHOWSKA,28
MACIEIK,28
MACIEJONEK,28
MACIERZEWSKA,28
MACIOPA,28
MACKAŁO,28
MACZUKIN,28
MADRY,28
MADY,28
MAGERA,28
MAGIEROWICZ,28
MAJCZUK,28
MAJLINGER,28
MAJSTER,28
MAKIOŁA,28
MAKOSKA,28
MAKUL,28
MAKUSZAK,28
MAKUSZYŃSKA,28
MALASY,28
MALCZYSZYN,28
MALTSEVA,28
MANDRELLA,28
MANDRYKA,28
MANDRYKOWSKA,28
MANIETA,28
